Wavelength (nm)	Transmission (%)
476.00	0.00055387598695233
477.00	0.00053352798568085
478.00	0.00039036601083353
479.00	0.0003531260008458
480.00	0.00034823000896722
481.00	0.00031303201103583
482.00	0.00034783300361596
483.00	0.00039746699621901
484.00	0.00051634601550177
485.00	0.00048678499297239
486.00	0.0007475420134142
487.00	0.00062777299899608
488.00	0.00069744198117405
489.00	0.00075013499008492
490.00	0.00076172599801794
491.00	0.00080507702659816
492.00	0.00094942701980472
493.00	0.0012431199429557
494.00	0.001815989962779
495.00	0.0023656899575144
496.00	0.0026649399660528
497.00	0.0025574299506843
498.00	0.0020804300438613
499.00	0.0015772000188008
500.00	0.0011386800324544
501.00	0.0010216300142929
502.00	0.00090004701633006
503.00	0.0010327199706808
504.00	0.0010731799993664
505.00	0.0013448699610308
506.00	0.0017996799433604
507.00	0.002925859997049
508.00	0.0045007499866188
509.00	0.0061398399993777
510.00	0.0066228802315891
511.00	0.0054980800487101
512.00	0.0037705800496042
513.00	0.0025625398848206
514.00	0.0021009999327362
515.00	0.0018198599573225
516.00	0.001900149974972
517.00	0.0021853300277144
518.00	0.0028101298958063
519.00	0.0040590302087367
520.00	0.0078821396455169
521.00	0.016686499118805
522.00	0.024024600163102
523.00	0.020904500037432
524.00	0.010396800003946
525.00	0.0045648100785911
526.00	0.0023779200855643
527.00	0.0015631000278518
528.00	0.0011547199683264
529.00	0.00091830699238926
530.00	0.00083707901649177
531.00	0.00072007701965049
532.00	0.00074167002458125
533.00	0.00066644698381424
534.00	0.0008157899719663
535.00	0.00081955501809716
536.00	0.00092755601508543
537.00	0.0011216000420973
538.00	0.0013820000458509
539.00	0.0016998100327328
540.00	0.0021589701063931
541.00	0.0029257799033076
542.00	0.0039169997908175
543.00	0.0054183499887586
544.00	0.0071326801553369
545.00	0.0093688797205687
546.00	0.011746400035918
547.00	0.014059100300074
548.00	0.016321800649166
549.00	0.01827060058713
550.00	0.020275499671698
551.00	0.022533299401402
552.00	0.025252299383283
553.00	0.029271699488163
554.00	0.034878101199865
555.00	0.043238300830126
556.00	0.053653500974178
557.00	0.070563897490501
558.00	0.095105096697807
559.00	0.12930099666119
560.00	0.17882800102234
561.00	0.23732300102711
562.00	0.30862998962402
563.00	0.38206800818443
564.00	0.45106300711632
565.00	0.51646202802658
566.00	0.61655402183533
567.00	0.75472700595856
568.00	0.88694697618484
569.00	0.95391201972961
570.00	0.97158598899841
571.00	0.97248297929764
572.00	0.97337102890015
573.00	0.97525602579117
574.00	0.97665697336197
575.00	0.97699302434921
576.00	0.97638201713562
577.00	0.97599601745605
578.00	0.97580099105835
579.00	0.97507202625275
580.00	0.97523301839828
581.00	0.97399002313614
582.00	0.97444200515747
583.00	0.97544598579407
584.00	0.97530299425125
585.00	0.975172996521
586.00	0.97554802894592
587.00	0.97498399019241
588.00	0.97558498382568
589.00	0.97646200656891
590.00	0.97772300243378
591.00	0.97866797447205
592.00	0.97937399148941
593.00	0.98221701383591
594.00	0.9826700091362
595.00	0.98273998498917
596.00	0.98312497138977
597.00	0.98243498802185
598.00	0.98378002643585
599.00	0.9837309718132
600.00	0.9822890162468
601.00	0.98397499322891
602.00	0.98337697982788
603.00	0.98286300897598
604.00	0.98301601409912
605.00	0.98309397697449
606.00	0.98432302474976
607.00	0.98322200775146
608.00	0.98331397771835
609.00	0.98497098684311
610.00	0.98509097099304
611.00	0.98189598321915
612.00	0.98336499929428
613.00	0.98324298858643
614.00	0.98203402757645
615.00	0.98100501298904
616.00	0.98292297124863
617.00	0.98267102241516
618.00	0.98183697462082
619.00	0.98121899366379
620.00	0.9814630150795
621.00	0.98223400115967
622.00	0.98338800668716
623.00	0.98433297872543
624.00	0.98465299606323
625.00	0.98475402593613
626.00	0.98473799228668
627.00	0.98460900783539
628.00	0.98477798700333
629.00	0.98415398597717
630.00	0.9833989739418
631.00	0.98269802331924
632.00	0.98170298337936
633.00	0.98110002279282
634.00	0.98165100812912
635.00	0.98239201307297
636.00	0.98273301124573
637.00	0.98353797197342
638.00	0.98381298780441
639.00	0.98438501358032
640.00	0.98481398820877
641.00	0.98534101247787
642.00	0.98580998182297
643.00	0.98591101169586
644.00	0.98614102602005
645.00	0.9850469827652
646.00	0.98482298851013
647.00	0.98460799455643
648.00	0.98506897687912
649.00	0.98441201448441
650.00	0.98559498786926
651.00	0.98616498708725
652.00	0.98648500442505
653.00	0.98632997274399
654.00	0.98473298549652
655.00	0.98395502567291
656.00	0.9833710193634
657.00	0.98336899280548
658.00	0.98373001813889
659.00	0.98285001516342
660.00	0.98135101795197
661.00	0.98108601570129
662.00	0.98309397697449
