rowID,meanFWHM,stdevFWHM,minFWHM,maxFWHM,meanPvLeak,stdevPvLeak,minPvLeak,maxPvLeak,X,Y,Z,capLogical,venLogical,artLogical,midLogical,preLogical,pstLogical,midCapLogical,preCapLogical,pstCapLogical,midVenLogical,preVenLogical,pstVenLogical,midArtLogical,preArtLogical,pstArtLogical,group
ZT10_16X6x_gg_800nm_m12_roi1_00001_ROIs_classA_24,5.27893672200854,0.070473482026073,5.12422987774242,5.3539307800234,0.736563943596226,0.0030729106680056,0.730775431816622,0.740520955189653,374.5,63.5,20.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m12_roi1_00001_ROIs_classA_25,4.48028004646028,0.0549181419765494,4.38841263512378,4.56033193107213,0.733362769760378,0.0034712456185843,0.727438771416999,0.738045738146844,441.0,197.0,30.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m12_roi1_00001_ROIs_classA_26,5.02585265806074,0.124467234852526,4.8462349341281,5.21557449917432,0.742876012043327,0.0010686197478887,0.740831292104928,0.744490983734131,442.0,51.0,20.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m12_roi1_00001_ROIs_classA_27,3.61595115623826,0.211718679502954,3.34318077085419,3.8679578034908,0.735365033882786,0.0017618483222311,0.732083052675181,0.737409928545261,181.5,424.5,40.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m12_roi1_00001_ROIs_classA_28,5.11494440487663,0.179804962306463,4.82990508414946,5.34118739148465,0.739818129548626,0.0016227114963568,0.737136046311637,0.742752874240394,486.0,194.5,85.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m12_roi1_00001_ROIs_classA_29,4.65731339388277,0.0742641715645446,4.54159042273361,4.79682315689639,0.743376187023979,0.0019612702341141,0.738647645062235,0.745236982930929,348.5,180.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m12_roi1_00001_ROIs_classA_30,3.72619449094966,0.0350493712241152,3.66281533102645,3.77110855773175,0.744371539197032,0.0013483523073116,0.742352974898569,0.74661401936247,252.0,91.0,40.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m12_roi1_00001_ROIs_classA_31,4.19613970543779,0.0708344020315633,4.04429065188805,4.26590406385743,0.732233679587034,0.0036423042452567,0.728321371401492,0.740206273393525,158.5,29.0,40.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m12_roi1_00001_ROIs_classA_32,5.01422501178035,0.996401408917155,3.08264570988341,5.71932550777655,0.744482252752752,0.0008519085190955,0.743454461622981,0.745734302569931,192.5,52.5,35.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m12_roi1_00001_ROIs_classA_33,7.29178130546867,0.0728548673902808,7.19309065021665,7.41813262646298,0.74570661650822,0.0007016618276336,0.744632902745051,0.747109167329336,378.5,442.5,55.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m12_roi1_00001_ROIs_classA_34,4.77570274207681,0.0434941560932405,4.71195224294563,4.84263818912246,0.737293818376582,0.0024885284867746,0.734308568437904,0.74007633709913,88.5,113.0,75.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m12_roi1_00001_ROIs_classA_35,6.66068396653469,0.106996638523855,6.45637527390028,6.81481582332662,0.707599249460278,0.0108704447755026,0.691209277828786,0.725500156574558,425.5,365.5,115.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m12_roi1_00001_ROIs_classA_36,5.28716767007708,0.258144265302634,4.97459936003234,5.83443022314373,0.736181176499758,0.0032942028018597,0.729022521642354,0.740443801256277,376.0,216.5,165.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m12_roi1_00001_ROIs_classA_37,7.52869460936023,0.0957405466386797,7.3861694483236,7.70530509363878,0.746493853238089,0.0005910475797663,0.745824762898522,0.747488375312858,220.5,69.0,200.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_01,7.53176670102853,0.242243338262485,7.04759076066995,7.84132347040092,0.745494706340214,0.0015851238835461,0.742840672967904,0.747491729990893,49.0,86.5,15.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,B
ZT10_16X6x_gg_800nm_m13_roi1_00002_ROIs_classA_02,5.65547115801323,0.158699703600232,5.29739820854357,5.8399814953723,0.747231826135499,0.0007977265797814,0.746255408453098,0.748469746200995,46.0,195.5,20.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
