rowID,meanFWHM,stdevFWHM,minFWHM,maxFWHM,meanFeFv,stdevFeFv,minFeFv,maxFeFv,X,Y,Z,capLogical,venLogical,group
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_24,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_25,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_26,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_27,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_28,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_29,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_30,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_31,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_32,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_33,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_34,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_35,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_36,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_37,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_38,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_39,,,,,,,,,,,,,,B
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_01,4.97971681343745,0.20229225508332,4.6181868819105,5.18073243078399,0.328346028693469,0.0838835004097754,0.239376039383827,0.497258378501932,357.5,67.0,10.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_02,4.80285460123879,0.104808814393392,4.55511960795115,4.88850129699863,0.68387760983759,0.0977106368390018,0.511329991184656,0.813857592584247,240.5,66.0,20.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_03,3.77637775845243,0.093544079533281,3.65624336040055,3.91808131997854,0.567076049542419,0.122563554919938,0.400313848085855,0.746585742802789,277.5,49.0,20.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_04,3.36718267714757,0.0156835988295725,3.35427774166167,3.4003721083351,0.712161268796919,0.165128219507658,0.50146848620837,1.0724474998972,241.5,30.5,25.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_05,6.70848625704456,0.340340246915907,6.2453443466792,7.3808987083027,1.50054294233868,0.175169152450963,1.2382056264857,1.78751145477077,17.0,227.5,20.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_06,4.4194004841546,0.0945944784731293,4.28470132885811,4.54752197180811,1.08317880842297,0.215212553495876,0.774723406852412,1.51858429869096,128.0,416.5,25.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_07,4.37094840577042,0.10375166970638,4.17975311437944,4.49958126753679,0.431283546298686,0.0855527678982649,0.324150461273683,0.605076725839308,294.5,132.5,40.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_08,7.46156760085078,0.237809765813927,7.03680089929068,7.77628354363669,0.213138608984684,0.0774737434037191,0.125824337397253,0.344755117328533,205.0,191.5,70.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_09,,,,,,,,,235.0,26.0,75.0,0.0,0.0,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_10,3.13645974630524,0.0431751687609491,3.02046572548473,3.16824920208065,1.00867329671591,0.188215221842263,0.749401459216686,1.30211261260915,127.0,200.0,5.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_11,2.94067329822234,0.0658331774686653,2.84730102850652,3.01272019466051,0.505224944414855,0.173623976962752,0.30118491013081,0.74139519879006,196.0,238.0,15.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_12,4.8548035857051,0.0822746538217029,4.78399161853326,4.99594750817412,0.592733802254697,0.116441061306649,0.438257425647772,0.802806402554864,100.0,361.0,25.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_13,,,3.90543798787425,4.07545573981799,,,,,95.0,329.5,20.0,1.0,0.0,A
ZT10_16X6x_gg_800nm_m9_roi1_00002_ROIs_classA_14,2.90591524590452,0.0568112952655656,2.7672522590235,2.97154453808136,0.489472121275894,0.117854043445706,0.304994418271585,0.726355986378964,195.0,229.0,20.0,1.0,0.0,A
